"B.TAYLOR.Hills of Connemara"

# Hills of Connemara
46.41000 0.00000 0.00000
46.48000 0.00000 0.00000
46.55000 0.00000 0.00000
46.62000 0.00000 0.00000
46.69000 0.00000 0.00000
46.76000 0.00000 0.00000
46.83000 0.00000 0.00000
46.90000 0.00000 0.00000
46.97000 0.00000 0.00000
47.04000 0.00000 0.00000
47.11000 0.00000 0.00000
47.18000 0.00000 0.00000
47.25000 0.00000 0.00000
47.32000 0.00000 0.00000
47.39000 0.00000 0.00000
47.46000 0.00000 0.00000
47.53000 0.00000 0.00000
47.60000 0.00000 0.00000
47.67000 0.00000 0.00000
47.74000 0.00000 0.00000
47.81000 0.00000 0.00000
47.88000 0.00000 0.00000
47.95000 0.00000 0.00000
48.02000 0.00000 0.00000
48.09000 0.00000 0.00000
48.16000 0.00000 0.00000
48.23000 0.00000 0.00000
48.30000 0.00000 0.00000
48.37000 0.00000 0.00000
48.44000 0.00000 0.00000
48.51000 0.00000 0.00000
48.58000 0.00000 0.00000
48.65000 0.00000 0.00000
48.72000 0.00000 0.00000
48.79000 0.00000 0.00000
48.86000 0.00000 0.00000
48.93000 0.00000 0.00000
49.00000 0.00000 0.00000
49.07000 0.00000 0.00000
49.14000 0.00000 0.00000
49.21000 0.00000 0.00000
49.28000 0.00000 0.00000
49.35000 0.00000 0.00000
49.42000 0.00000 0.00000
49.49000 0.00000 0.00000
49.56000 0.00000 0.00000
49.63000 0.00000 0.00000
49.70000 0.00000 0.00000
49.77000 0.00000 0.00000
49.84000 0.00000 0.00000
49.91000 0.00000 0.00000
49.98000 0.00000 0.00000
50.05000 0.00000 0.00000
50.12000 0.00000 0.00000
50.19000 0.00000 0.00000
50.26000 0.00000 0.00000
50.33000 0.00000 0.00000
50.40000 0.00000 0.00000
50.47000 0.00000 0.00000
50.54000 0.00000 0.00000
50.61000 0.00000 0.00000
50.68000 0.00000 0.00000
50.75000 0.00000 0.00000
50.82000 0.00000 0.00000
50.89000 0.00000 0.00000
50.96000 0.00000 0.00000
51.03000 0.00000 0.00000
51.10000 0.00000 0.00000
51.17000 0.00000 0.00000
51.24000 0.00000 0.00000
51.31000 0.00000 0.00000
51.38000 0.00000 0.00000
51.45000 0.00000 0.00000
51.52000 0.00000 0.00000
51.59000 0.00000 0.00000
51.66000 0.00000 0.00000
51.73000 0.00000 0.00000
51.80000 0.00000 0.00000
51.87000 0.00000 0.00000
51.94000 0.00000 0.00000
52.01000 0.00000 0.00000
52.08000 0.00000 0.00000
52.15000 0.00000 0.00000
52.22000 0.00000 0.00000
52.29000 0.00000 0.00000
52.36000 0.00000 0.00000
52.43000 0.00000 0.00000
52.50000 0.00000 0.00000
52.57000 0.00000 0.00000
52.64000 0.00000 0.00000
52.71000 0.00000 0.00000
52.78000 0.00000 0.00000
52.85000 0.00000 0.00000
52.92000 0.00000 0.00000
52.99000 0.00000 0.00000
53.06000 0.00000 0.00000
53.13000 0.00000 0.00000
53.20000 0.00000 0.00000
53.27000 0.00000 0.00000
53.34000 0.00000 0.00000
53.41000 0.00000 0.00000
53.48000 0.00000 0.00000
53.55000 0.00000 0.00000
53.62000 0.00000 0.00000
53.69000 0.00000 0.00000
53.76000 0.00000 0.00000
53.83000 0.00000 0.00000
53.90000 0.00000 0.00000
53.97000 0.00000 0.00000
54.04000 0.00000 0.00000
54.11000 0.00000 0.00000
54.18000 0.00000 0.00000
54.25000 0.00000 0.00000
54.32000 0.00000 0.00000
54.39000 0.00000 0.00000
54.46000 0.00000 0.00000
54.53000 0.00000 0.00000
54.60000 0.00000 0.00000
54.67000 0.00000 0.00000
54.74000 0.00000 0.00000
54.81000 0.00000 0.00000
54.88000 0.00000 0.00000
54.95000 0.00000 0.00000
55.02000 0.00000 0.00000
55.09000 0.00000 0.00000
55.16000 0.00000 0.00000
55.23000 0.00000 0.00000
55.30000 0.00000 0.00000
55.37000 0.00000 0.00000
55.44000 0.00000 0.00000
55.51000 0.00000 0.00000
55.58000 0.00000 0.00000
55.65000 0.00000 0.00000
55.72000 0.00000 0.00000
55.79000 0.00000 0.00000
55.86000 0.00000 0.00000
55.93000 0.00000 0.00000
56.00000 0.00000 0.00000
56.07000 0.00000 0.00000
56.14000 0.00000 0.00000
56.21000 0.00000 0.00000
56.28000 0.00000 0.00000
56.35000 0.00000 0.00000
56.42000 0.00000 0.00000
56.49000 0.00000 0.00000
56.56000 0.00000 0.00000
56.63000 0.00000 0.00000
56.70000 0.00000 0.00000
56.77000 0.00000 0.00000
56.84000 0.00000 0.00000
56.91000 0.00000 0.00000
56.98000 0.00000 0.00000
57.05000 0.00000 0.00000
57.12000 0.00000 0.00000
57.19000 0.00000 0.00000
57.26000 0.00000 0.00000
57.33000 0.00000 0.00000
57.40000 0.00000 0.00000
57.47000 0.00000 0.00000
57.54000 0.00000 0.00000
57.61000 0.00000 0.00000
57.68000 0.00000 0.00000
57.75000 0.00000 0.00000
57.82000 0.00000 0.00000
57.89000 0.00000 0.00000
57.96000 0.00000 0.00000
58.03000 0.00000 0.00000
58.10000 0.00000 0.00000
58.17000 0.00000 0.00000
58.24000 0.00000 0.00000
58.31000 0.00000 0.00000
58.38000 0.00000 0.00000
58.45000 0.00000 0.00000
58.52000 0.00000 0.00000
58.59000 0.00000 0.00000
58.66000 0.00000 0.00000
58.73000 0.00000 0.00000
58.80000 0.00000 0.00000
58.87000 0.00000 0.00000
58.94000 0.00000 0.00000
59.01000 0.00000 0.00000
59.08000 0.00000 0.00000
59.15000 0.00000 0.00000
59.22000 0.00000 0.00000
59.29000 0.00000 0.00000
59.36000 0.00000 0.00000
59.43000 0.00000 0.00000
59.50000 0.00000 0.00000
59.57000 0.00000 0.00000
59.64000 0.00000 0.00000
59.71000 0.00000 0.00000
59.78000 0.00000 0.00000
59.85000 0.00000 0.00000
59.92000 0.00000 0.00000
59.99000 0.00000 0.00000
60.06000 0.00000 0.00000
60.13000 0.00000 0.00000
60.20000 0.00000 0.00000
60.27000 0.00000 0.00000
60.34000 0.00000 0.00000
60.41000 0.00000 0.00000
60.48000 0.00000 0.00000
60.55000 0.00000 0.00000
60.62000 0.00000 0.00000
60.69000 0.00000 0.00000
60.76000 0.00000 0.00000
60.83000 0.00000 0.00000
60.90000 0.00000 0.00000
60.97000 0.00000 0.00000
61.04000 0.00000 0.00000
61.11000 0.00000 0.00000
61.18000 0.00000 0.00000
61.25000 0.00000 0.00000
61.32000 0.00000 0.00000
61.39000 0.00000 0.00000
61.46000 0.00000 0.00000
61.53000 0.00000 0.00000
61.60000 0.00000 0.00000
61.67000 0.00000 0.00000
61.74000 0.00000 0.00000
61.81000 0.00000 0.00000
61.88000 0.00000 0.00000
61.95000 0.00000 0.00000
62.02000 0.00000 0.00000
62.09000 0.00000 0.00000
62.16000 0.00000 0.00000
62.23000 0.00000 0.00000
62.30000 0.00000 0.00000
62.37000 0.00000 0.00000
62.44000 0.00000 0.00000
62.51000 0.00000 0.00000
62.58000 0.00000 0.00000
62.65000 0.00000 0.00000
62.72000 0.00000 0.00000
62.79000 0.00000 0.00000
62.86000 0.00000 0.00000
62.93000 0.00000 0.00000
63.00000 0.00000 0.00000
63.07000 0.00000 0.00000
63.14000 0.00000 0.00000
63.21000 0.00000 0.00000
63.28000 0.00000 0.00000
63.35000 0.00000 0.00000
63.42000 0.00000 0.00000
63.49000 0.00000 0.00000
63.56000 0.00000 0.00000
63.63000 0.00000 0.00000
63.70000 0.00000 0.00000
63.77000 0.00000 0.00000
63.84000 0.00000 0.00000
63.91000 0.00000 0.00000
63.98000 0.00000 0.00000
64.05000 0.00000 0.00000
64.12000 0.00000 0.00000
64.19000 0.00000 0.00000
64.26000 0.00000 0.00000
64.33000 0.00000 0.00000
64.40000 0.00000 0.00000
64.47000 0.00000 0.00000
64.54000 0.00000 0.00000
64.61000 0.00000 0.00000
64.68000 64.00000 100.00000
